,price,host_acceptance_rate,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,instant_bookable,host_total_listings_count,accommodates,bathrooms,beds,review_scores_rating,room_type,neighbourhood,rating_range
1,482.0,0.99,1.0,f,t,t,f,58,2,1.0,1.0,4.22,Entire home/apt,Central & Western,"[4,5]"
2,1475.0,0.99,1.0,f,t,t,f,58,6,1.0,3.0,4.52,Entire home/apt,Central & Western,"[4,5]"
3,616.0,0.99,1.0,f,t,t,f,58,6,1.0,3.0,4.28,Entire home/apt,Central & Western,"[4,5]"
4,1210.0,0.99,1.0,f,t,t,f,58,6,1.0,3.0,4.35,Entire home/apt,Central & Western,"[4,5]"
5,750.0,0.85,1.0,t,t,t,f,1,2,1.0,1.0,4.88,Entire home/apt,Central & Western,"[4,5]"
6,920.25,0.0,0.0,f,t,t,f,1,8,2.5,6.0,,Private room,Central & Western,
7,1615.0,0.84,1.0,f,t,t,f,1,4,1.0,3.0,4.76,Entire home/apt,Wan Chai,"[4,5]"
8,1047.0,0.74,0.93,f,t,t,f,22,6,2.0,3.0,4.33,Entire home/apt,Yuen Long,"[4,5]"
9,1283.0,0.53,0.9,f,t,f,f,4,3,2.0,2.0,4.13,Entire home/apt,Central & Western,"[4,5]"
10,884.0,0.92,1.0,t,t,t,f,1,4,1.0,2.0,4.69,Entire home/apt,Central & Western,"[4,5]"
11,380.0,1.0,1.0,f,t,t,t,65,8,3.0,8.0,4.43,Shared room,Wan Chai,"[4,5]"
12,380.0,1.0,1.0,f,t,t,t,65,8,2.0,8.0,4.44,Shared room,Wan Chai,"[4,5]"
13,386.0,1.0,1.0,f,t,t,t,65,8,3.0,8.0,4.43,Shared room,Wan Chai,"[4,5]"
14,380.0,1.0,1.0,f,t,t,t,65,8,3.0,8.0,4.52,Shared room,Wan Chai,"[4,5]"
15,920.25,1.0,1.0,f,t,t,f,4,5,1.0,4.0,4.79,Hotel room,Islands,"[4,5]"
16,1617.0,1.0,1.0,f,t,t,f,4,3,1.0,1.0,4.74,Hotel room,Islands,"[4,5]"
17,1209.0,1.0,1.0,f,t,t,f,4,3,1.0,2.0,4.83,Hotel room,Islands,"[4,5]"
18,1022.0,0.75,0.5,f,t,t,f,12,2,1.0,1.0,3.5,Private room,Central & Western,"[3,4]"
19,1200.0,1.0,1.0,f,t,t,f,1,4,2.0,2.0,4.58,Entire home/apt,Islands,"[4,5]"
21,260.0,0.97,0.9,t,t,t,t,12,1,2.5,1.0,4.65,Hotel room,Yau Tsim Mong,"[4,5]"
22,280.0,0.97,0.9,t,t,t,t,12,2,3.0,1.0,4.53,Private room,Yau Tsim Mong,"[4,5]"
23,337.0,0.62,1.0,f,t,t,f,9,4,1.0,2.0,4.2,Private room,Yau Tsim Mong,"[4,5]"
24,420.0,0.62,1.0,f,t,t,f,9,2,1.5,2.0,4.4,Private room,Yau Tsim Mong,"[4,5]"
25,920.25,0.31,0.81,f,t,t,f,31,8,1.0,3.0,4.64,Entire home/apt,Yau Tsim Mong,"[4,5]"
26,1058.0,0.83,1.0,t,t,t,f,30,6,1.0,3.0,4.6,Entire home/apt,Yau Tsim Mong,"[4,5]"
27,324.0,0.62,1.0,f,t,t,f,9,2,1.0,1.0,4.62,Private room,Yau Tsim Mong,"[4,5]"
28,291.0,0.62,1.0,f,t,t,f,9,1,1.0,1.0,4.29,Private room,Yau Tsim Mong,"[4,5]"
29,350.0,0.8,1.0,f,t,t,f,8,1,1.5,1.0,4.71,Private room,North,"[4,5]"
30,920.25,,,f,t,t,f,1,7,2.0,6.0,5.0,Entire home/apt,Southern,"[4,5]"
31,1572.0,1.0,1.0,f,t,t,t,5,4,1.0,2.0,4.5,Entire home/apt,Islands,"[4,5]"
32,1246.0,1.0,1.0,t,t,t,f,3,2,1.0,1.0,4.83,Entire home/apt,Central & Western,"[4,5]"
33,800.0,0.79,1.0,f,t,t,f,1,3,1.0,1.0,4.52,Entire home/apt,Wan Chai,"[4,5]"
34,1171.0,,1.0,f,t,t,f,8,4,1.0,2.0,5.0,Entire home/apt,Central & Western,"[4,5]"
35,1132.0,,1.0,f,t,t,f,8,4,1.0,1.0,5.0,Entire home/apt,Central & Western,"[4,5]"
36,986.0,0.31,0.81,f,t,t,f,31,3,1.0,1.0,4.26,Entire home/apt,Yau Tsim Mong,"[4,5]"
37,217.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,4.0,Private room,Kowloon City,"[3,4]"
38,999.0,,1.0,f,t,t,t,8,3,1.0,1.0,5.0,Entire home/apt,Central & Western,"[4,5]"
39,180.0,0.32,1.0,f,t,t,f,503,1,,1.0,,Private room,Yau Tsim Mong,
40,140.0,0.32,1.0,f,t,t,f,503,1,,1.0,,Private room,Yau Tsim Mong,
41,160.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,4.5,Private room,Yau Tsim Mong,"[4,5]"
42,1365.0,1.0,1.0,t,t,t,t,10,6,1.0,4.0,4.74,Entire home/apt,Yau Tsim Mong,"[4,5]"
43,1287.0,0.76,1.0,t,t,t,f,5,2,1.0,2.0,4.67,Entire home/apt,Central & Western,"[4,5]"
44,390.0,0.76,1.0,t,t,t,f,5,1,1.0,1.0,5.0,Private room,Central & Western,"[4,5]"
45,875.0,0.43,0.89,f,t,t,f,1,2,1.0,1.0,4.64,Entire home/apt,Central & Western,"[4,5]"
46,722.0,0.6,1.0,f,t,t,f,6,3,1.0,2.0,4.57,Entire home/apt,Central & Western,"[4,5]"
47,115.0,0.27,,f,t,f,f,8,1,8.0,1.0,4.45,Shared room,Yau Tsim Mong,"[4,5]"
48,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,3.5,Private room,Central & Western,"[3,4]"
